Name,City,Latitude,Longitude,Diesel price 
NEW BOMBAY AUTO SUPPLY CO,MUMBAI,19.06155,72.835731,89.98
NEW KAMPALA S. STATION,MUMBAI,18.972535,72.809478,89.98
PATEL AUTOMOBILESA/C GOREGAON,MUMBAI,19.170995,72.84549,90.19
PATEL BROTHERS,MUMBAI,18.969219,72.832319,89.98
PETROLEUM & MINERALS PVT LTD A/C T,MUMBAI,18.966318,72.813655,89.98
PETROLEUM & MINERALS PVT LTD (A/C P,MUMBAI,18.948825,72.835293,89.98
"PRAKASH AUTOMOBILES,A/C JVPD",MUMBAI,19.116459,72.828741,89.98
RADIANT PETROLEUM PRODUCTS PVT LTD,MUMBAI,19.053887,72.893404,89.98
RAJ AUTOMOBILES,MUMBAI,18.961572,72.821624,89.98
RAVI AUTO SERVICES,MUMBAI,19.011144,72.820509,89.98
SATGURU AUTOMOBILES (A/C WADALA),MUMBAI,19.016208,72.85189,89.98
SETHI AUTOMOBILES,MUMBAI,18.979052,72.843667,89.98
SHAH PETROLEUM PRODUCTS A/C CHEMBUR,MUMBAI,19.07013,72.901177,89.98
SHETKARI SAHKARI SANGH LIMITED,MUMBAI,19.004997,72.844506,89.98
SHETTY AUTO SERVICE,MUMBAI,19.008844,72.84126,89.98
TAJ AUTOMOBILES,MUMBAI,18.966903,72.819371,89.98
TAXIMENS SERVICES,MUMBAI,19.013922,72.843905,89.98
TAXIMENS SERVICES LTD. (A/C BANDRA,MUMBAI,19.053659,72.838078,89.98
UGANDA SERVICE STATION,MUMBAI,19.014166,72.855229,89.98
UNITED MOTORS INDIA PVT LTD.,MUMBAI,18.958515,72.810639,89.98
UNIVERSAL MOTORS,MUMBAI,18.970928,72.840893,89.98
VARMA AUTOMOBILES,MUMBAI,18.952621,72.841667,89.98
VIJAY SERVICE STATION,MUMBAI,18.97372,72.844968,89.98
VIKHROLI AUTOMOBILES,MUMBAI,19.124854,72.924967,89.98
VIKRAM AUTO SERVICES,MUMBAI,19.12457,72.823283,89.98
WORLIWAY SERVICE STATION A/C PLOT 8,MUMBAI,18.99797,72.817376,89.98
BP GHAR KANNEVALASA,KANNEVALASA,18.534513,84.166377,97.51
BP-RAJANAGARAM,RAJANAGARAM,17.081564,81.901531,96.63
ADARSH SERVICE STATION,MUMBAI,19.097266,72.850729,89.98
DASHMESH AUTOMOBILES,MUMBAI,19.08501,72.885546,89.98
AMAR AUTOMOBILES (A/C WADI BUNDER ),MUMBAI,18.960996,72.843762,89.98
MARINE SERVICES,MUMBAI,18.957213,72.849668,89.98
B.M.TAWRI,SINNAR,19.845726,73.991161,91.3
KHALSA AUTOMOBILES,NASHIK,20.010032,73.792704,91.28
